code,market,issue,issue_short,industry,unit,info,topix100,tracking
2678-T,東証1部,アスクル,アスクル,小売業,100,貸借銘柄,,
2681-T,東証1部,ゲオホールディングス,ゲオＨＤ,小売業,100,貸借銘柄,,
2685-T,東証1部,アダストリア,アダストリア,小売業,100,貸借銘柄,,
2687-T,東証1部,シー・ヴイ・エス・ベイエリア,ＣＶＳベイ,小売業,1000,貸借銘柄,,
2692-T,東証1部,伊藤忠食品,伊藤忠食,卸売業,100,制度信用銘柄,,
2695-T,東証1部,くらコーポレーション,くら,小売業,100,貸借銘柄,,
2698-T,東証1部,キャンドゥ,キャンドゥ,小売業,100,貸借銘柄,,
2715-T,東証1部,エレマテック,エレマテック,卸売業,100,貸借銘柄,,
2726-T,東証1部,パル,パル,小売業,100,制度信用銘柄,,
2729-T,東証1部,JALUX,ＪＡＬＵＸ,卸売業,100,貸借銘柄,,
2730-T,東証1部,エディオン,エディオン,小売業,100,貸借銘柄,,
2733-T,東証1部,あらた,あらた,卸売業,1000,貸借銘柄,,
2734-T,東証1部,サーラコーポレーション,サーラ,小売業,100,貸借銘柄,,
2735-T,東証1部,ワッツ,ワッツ,小売業,100,制度信用銘柄,,
2737-T,東証1部,トーメンデバイス,トーメンデバ,卸売業,100,制度信用銘柄,,
2749-T,東証1部,JPホールディングス,ＪＰＨＤ,サービス業,100,貸借銘柄,,
2753-T,東証1部,あみやき亭,あみやき,小売業,100,制度信用銘柄,,
2760-T,東証1部,東京エレクトロン デバイス,東エレデバ,卸売業,100,貸借銘柄,,
2764-T,東証1部,ひらまつ,ひらまつ,小売業,100,制度信用銘柄,,
2767-T,東証1部,フィールズ,フィールズ,卸売業,100,制度信用銘柄,,
2768-T,東証1部,双日,双日,卸売業,100,貸借銘柄,,
2772-T,東証1部,ゲンキー,ゲンキー,小売業,100,貸借銘柄,,
2784-T,東証1部,アルフレッサ ホールディングス,アルフレッサＨＤ,卸売業,100,貸借銘柄,,
2786-T,東証1部,サッポロドラッグストアー,サッポロドラッグ,小売業,100,貸借銘柄,,
2791-T,東証1部,大黒天物産,大黒天,小売業,100,制度信用銘柄,,
2792-T,東証1部,ハニーズ,ハニーズ,小売業,100,貸借銘柄,,
2796-T,東証1部,ファーマライズホールディングス,ファーマライズＨＤ,小売業,100,貸借銘柄,,
2801-T,東証1部,キッコーマン,キッコマン,食料品,1000,貸借銘柄,,
2802-T,東証1部,味の素,味の素,食料品,1000,貸借銘柄/TOPIX100,1,
2809-T,東証1部,キユーピー,キユーピー,食料品,100,貸借銘柄,,
2810-T,東証1部,ハウス食品グループ本社,ハウス食Ｇ,食料品,100,貸借銘柄,,
2811-T,東証1部,カゴメ,カゴメ,食料品,100,貸借銘柄,,
2812-T,東証1部,焼津水産化学工業,焼津水,食料品,100,制度信用銘柄,,
2815-T,東証1部,アリアケジャパン,アリアケ,食料品,100,貸借銘柄,,
2819-T,東証1部,エバラ食品工業,エバラ食品工業,食料品,100,制度信用銘柄,,
2871-T,東証1部,ニチレイ,ニチレイ,食料品,1000,貸借銘柄,,
2874-T,東証1部,横浜冷凍,ヨコレイ,卸売業,100,貸借銘柄,,
2875-T,東証1部,東洋水産,東洋水産,食料品,100,貸借銘柄,,
2882-T,東証1部,イートアンド,イートアンド,食料品,100,貸借銘柄,,
2897-T,東証1部,日清食品ホールディングス,日清食ＨＤ,食料品,100,貸借銘柄,,
2899-T,東証1部,永谷園,永谷園,食料品,1000,貸借銘柄,,
2904-T,東証1部,一正蒲鉾,一正蒲鉾,食料品,100,貸借銘柄,,
2908-T,東証1部,フジッコ,フジッコ,食料品,1000,貸借銘柄,,
2910-T,東証1部,ロック・フィールド,ロックフィルド,食料品,100,貸借銘柄,,
2914-T,東証1部,日本たばこ産業,ＪＴ,食料品,100,貸借銘柄/TOPIX100,1,
2915-T,東証1部,ケンコーマヨネーズ,ケンコーマヨ,食料品,100,貸借銘柄,,
2918-T,東証1部,わらべや日洋,わらべや,食料品,100,貸借銘柄,,
2922-T,東証1部,なとり,なとり,食料品,100,貸借銘柄,,
2931-T,東証1部,ユーグレナ,ユーグレナ,食料品,100,貸借銘柄,,
3001-T,東証1部,片倉工業,片倉,繊維製品,100,貸借銘柄,,
3002-T,東証1部,グンゼ,グンゼ,繊維製品,1000,貸借銘柄,,
3003-T,東証1部,ヒューリック,ヒューリック,不動産業,100,貸借銘柄,,
3004-T,東証1部,神栄,神栄,卸売業,1000,貸借銘柄,,
3022-T,東証1部,山下医科器械,山下医,卸売業,100,貸借銘柄,,
3023-T,東証1部,ラサ商事,ラサ商事,卸売業,100,貸借銘柄,,
3028-T,東証1部,アルペン,アルペン,小売業,100,貸借銘柄,,
3034-T,東証1部,クオール,クオール,小売業,100,貸借銘柄,,
3036-T,東証1部,アルコニックス,アルコニックス,卸売業,100,貸借銘柄,,
3038-T,東証1部,神戸物産,神戸物産,卸売業,100,制度信用銘柄,,
3046-T,東証1部,ジェイアイエヌ,ＪＩＮ,小売業,100,貸借銘柄,,
3048-T,東証1部,ビックカメラ,ビックカメラ,小売業,100,貸借銘柄,,
3050-T,東証1部,DCMホールディングス,ＤＣＭ,小売業,100,貸借銘柄,,
3064-T,東証1部,MonotaRO,ＭＲＯ,小売業,100,貸借銘柄,,
3067-T,東証1部,東京一番フーズ,東京一番フーズ,小売業,100,貸借銘柄,,
3076-T,東証1部,あい ホールディングス,あいＨＤ,卸売業,100,貸借銘柄,,
3079-T,東証1部,ディーブイエックス,ＤＶｘ,卸売業,100,貸借銘柄,,
3082-T,東証1部,きちり,きちり,小売業,100,制度信用銘柄,,
3085-T,東証1部,アークランドサービス,ＡＬサービス,小売業,100,制度信用銘柄,,
